Model,Width,Method,N runs,Mean latency (s),Within-run std (s),Across-run std (s),Speedup vs np,L2 error,L2 disagreement?
diffusion,32,cpp,3,0.1547,0.0059,0.0018,4.70x,5.7461e-01,
diffusion,32,torch_compile,3,0.4043,0.0146,0.0010,1.80x,5.7461e-01,
diffusion,32,torch_script,3,0.5392,0.0152,0.0012,1.35x,5.7461e-01,
diffusion,32,torch_eager,3,0.5803,0.0142,0.0025,1.25x,5.7461e-01,
diffusion,32,np,3,0.7264,0.0072,0.0251,1.00x,5.7461e-01,
diffusion,64,cpp,3,0.3393,0.0075,0.0018,4.35x,6.1252e-01,
diffusion,64,torch_compile,3,0.8394,0.0156,0.0085,1.76x,6.1252e-01,
diffusion,64,torch_script,3,1.2044,0.0133,0.0176,1.22x,6.1252e-01,
diffusion,64,torch_eager,3,1.2826,0.0125,0.0256,1.15x,6.1252e-01,
diffusion,64,np,3,1.4752,0.0106,0.0484,1.00x,6.1252e-01,
diffusion,128,cpp,3,0.8046,0.0093,0.0010,3.99x,6.7646e-01,
diffusion,128,torch_compile,3,1.9207,0.0257,0.0106,1.67x,6.7646e-01,
diffusion,128,torch_script,3,2.8966,0.0265,0.0278,1.11x,6.7646e-01,
diffusion,128,torch_eager,3,3.0730,0.0265,0.0132,1.04x,6.7646e-01,
diffusion,128,np,3,3.2069,0.1912,0.2407,1.00x,6.7646e-01,
reaction_diffusion,32,cpp,3,0.1481,0.0030,0.0022,4.91x,6.1471e-01,
reaction_diffusion,32,torch_compile,3,0.4030,0.0108,0.0042,1.80x,6.1471e-01,
reaction_diffusion,32,torch_script,3,0.5391,0.0149,0.0016,1.35x,6.1471e-01,
reaction_diffusion,32,torch_eager,3,0.5795,0.0137,0.0025,1.25x,6.1471e-01,
reaction_diffusion,32,np,3,0.7267,0.0080,0.0230,1.00x,6.1471e-01,
